city;lat;lng;country;iso3
Kurichchi;11.5701;77.6969;India;IND
Belkheir;36.4667;7.4833;Algeria;DZA
Bouchegouf;36.4667;7.4833;Algeria;DZA
Texenna;36.65;5.7833;Algeria;DZA
Petersfield;51.0038;-0.9374;United Kingdom;GBR
Casalmaggiore;44.9833;10.4167;Italy;ITA
Candói;-25.7167;-52.1833;Brazil;BRA
Távros;37.9667;23.695;Greece;GRC
Chirpan;42.1998;25.3244;Bulgaria;BGR
Porcia;45.9667;12.6167;Italy;ITA
Castelnuovo Rangone;44.55;10.9333;Italy;ITA
Laurinburg;34.7602;-79.4773;United States;USA
Chrysoúpoli;40.9833;24.7;Greece;GRC
Avanos;38.715;34.8467;Turkey;TUR
Great Falls;39.011;-77.3013;United States;USA
Mastic;40.8096;-72.8479;United States;USA
Kenora;49.7667;-94.4833;Canada;CAN
Kenley;51.3242;-0.0969;United Kingdom;GBR
Hārohalli;12.6807;77.4743;India;IND
Douar Souk L‘qolla;35.0718;-5.5702;Morocco;MAR
Santa Brígida;-9.7333;-38.1333;Brazil;BRA
El Hadjira;32.6167;5.5167;Algeria;DZA
Tabant;31.6581;-6.42;Morocco;MAR
Paralímni;35.0333;33.9833;Cyprus;CYP
Saint-Servan-sur-Mer;48.6361;-2.0147;France;FRA
West University Place;29.7157;-95.4321;United States;USA
Baucau;-8.4667;126.45;Timor-Leste;TLS
Cold Lake;54.4642;-110.1825;Canada;CAN
’Tlat Bni Oukil;32.577;-6.84;Morocco;MAR
Veliki Preslav;43.1667;26.817;Bulgaria;BGR
Goluwāli;29.63;74.06;India;IND
Lakeland North;47.3374;-122.2812;United States;USA
Weigelstown;39.9852;-76.8306;United States;USA
Santa Luzia;-6.8719;-36.9189;Brazil;BRA
Metuchen;40.5424;-74.3628;United States;USA
Bludenz;47.1333;9.8167;Austria;AUT
Vianópolis;-16.75;-48.5111;Brazil;BRA
Ādra;23.5;86.67;India;IND
Paris;43.2;-80.3833;Canada;CAN
Monkey Bay;-14.0833;34.9167;Malawi;MWI
Sidi Zouine;31.6706;-8.3508;Morocco;MAR
Çatalpınar;40.8789;37.4531;Turkey;TUR
